Parameterkürzel,Kurzbeschreibung,Beschreibung,Einheit,Codelist
p_iii_flag,Qualitätsflag für Luftdruck zum Beobachtungstermin III,"Qualitätsflag für Luftdruck zum Beobachtungstermin III (18 UTC, vor 1971: 21 UHR MOZ)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
p_mittel,Luftdruck Mittelwert,"Luftdruck, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",hPa,
p_mittel_flag,Qualitätsflag für Luftdruck Mittelwert,"Qualitätsflag für Luftdruck, Tagesmittel aus den Beobachtungsterminen I,II,III (06,13,18 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
raureif,Raureif Indikator,Beobachtung von Raureif,bool,"[{'key': 0, 'value': 'nein'}, {'key': 1, 'value': 'ja'}]"
raureif_flag,Qualitätsflag für Raureif Indikator,Qualitätsflag für Beobachtung von Raureif,code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
reif,Reif Indikator,Beobachtung von Reif,bool,"[{'key': 0, 'value': 'nein'}, {'key': 1, 'value': 'ja'}]"
reif_flag,Qualitätsflag für Reif Indikator,Qualitätsflag für Beobachtung von Reif,code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rfb_i,Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin I,"Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin I (06 UTC)",%,
rfb_i_flag,Qualitätsflag für Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin I,"Qualitätsflag für Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin I (06 UTC)",code,"[{'key': None, 'value': 'undefiniert'}, {'key': 0, 'value': 'ungeprüfte Daten'}, {'key': 10, 'value': 'automatisch geprüft'}, {'key': 11, 'value': 'automatisch geprüft (verändert)'}, {'key': 12, 'value': 'automatisch geprüft (original)'}, {'key': 20, 'value': 'manuell geprüft (unbekannt)'}, {'key': 21, 'value': 'manuell geprüft (verändert)'}, {'key': 22, 'value': 'manuell geprüft (original)'}]"
rfb_ii,Relative Feuchte aus Feuchttemperatur zum Beobachtungstermin II,"Relative Feuchte, berechnet aus Feuchttemperatur zum Beobachtungstermin II (13 UTC)",%,
