id,Synopstationsnummer,Stationsname,Länge [°E],Breite [°N],Höhe [m],Startdatum,Enddatum,Bundesland,Sonnenschein,Globalstrahlung,Synop,Verknüpfungsnummer,Startdatum Teilzeitreihe,Enddatum Teilzeitreihe,zusammengesetzt
3500,,Königswiesen,14.838611,48.408611,608.0,1966-12-01 00:00:00+00:00,1997-09-30 00:00:00+00:00,Oberösterreich,False,False,,45,1966-12-01 00:00:00+00:00,1997-09-30 23:59:59+00:00,nein
3501,,Königswiesen,14.84,48.412498,600.0,1998-01-01 00:00:00+00:00,2006-06-16 00:00:00+00:00,Oberösterreich,False,False,,45,1998-01-01 00:00:00+00:00,2006-06-16 23:59:59+00:00,nein
3510,,Zilleck,14.983334,48.400002,880.0,1971-01-01 00:00:00+00:00,1991-01-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
3520,11367,Bärnkopf,15.00278,48.39111,969.0,2003-11-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,,,,nein
3600,,Gutenbrunn Martinsberg,15.15,48.383335,810.0,1973-10-04 00:00:00+00:00,1994-12-31 00:00:00+00:00,Niederösterreich,True,False,,33,1973-10-04 00:00:00+00:00,1994-12-31 23:59:59+00:00,nein
3601,,Gutenbrunn,15.123611,48.364166,828.0,1936-01-01 00:00:00+00:00,1964-12-31 00:00:00+00:00,Niederösterreich,False,False,,33,1948-01-01 00:00:00+00:00,1964-12-31 23:59:59+00:00,nein
3605,,Martinsberg,15.156111,48.37611,810.0,1995-06-01 00:00:00+00:00,2001-05-31 00:00:00+00:00,Niederösterreich,True,False,,33,1995-06-01 00:00:00+00:00,2001-05-31 23:59:59+00:00,nein
3700,,Jauerling,15.348056,48.337222,860.0,1965-11-01 00:00:00+00:00,2023-03-31 00:00:00+00:00,Niederösterreich,False,False,,193,1965-11-01 00:00:00+00:00,1995-06-30 23:59:59+00:00,nein
3701,,Jauerling Rasocher-Haus,15.333333,48.333332,959.0,1935-01-01 00:00:00+00:00,1950-01-01 00:00:00+00:00,Niederösterreich,False,False,,193,1935-01-01 00:00:00+00:00,1941-12-01 23:59:59+00:00,nein
3702,11024,Jauerling Gipfel,15.33911,48.33447,955.0,1994-01-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,193,1995-07-01 00:00:00+00:00,,nein
3703,,Jauerling/Oberndorf,15.35,48.333332,860.0,1950-01-01 00:00:00+00:00,1962-05-01 00:00:00+00:00,Niederösterreich,False,False,,193,1950-01-01 00:00:00+00:00,1962-04-30 23:59:59+00:00,nein
3710,,Joching,15.459444,48.386112,212.0,1974-02-01 00:00:00+00:00,1996-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
3720,,Unterloiben,15.55,48.383335,201.0,1983-11-01 00:00:00+00:00,1984-12-31 00:00:00+00:00,Niederösterreich,False,False,,,,,nein
3800,,Krems/Landersdorf,15.616667,48.416668,200.0,1977-06-01 00:00:00+00:00,1982-09-30 00:00:00+00:00,Niederösterreich,True,False,,46,1977-06-01 00:00:00+00:00,1982-09-30 23:59:59+00:00,nein
3801,,Krems,15.622222,48.41861,207.0,1982-10-01 00:00:00+00:00,1996-03-31 00:00:00+00:00,Niederösterreich,True,False,,46,1982-10-01 00:00:00+00:00,1996-03-31 23:59:59+00:00,nein
3805,11070,Krems,15.62222,48.41861,202.0,1996-02-01 00:00:00+00:00,2100-12-31 00:00:00+00:00,Niederösterreich,True,True,,46,1996-04-01 00:00:00+00:00,,nein
3807,,Krems,15.6,48.416668,223.0,1936-01-01 00:00:00+00:00,1977-05-31 00:00:00+00:00,Niederösterreich,False,False,,46,1936-01-01 00:00:00+00:00,1977-05-31 23:59:59+00:00,nein
